Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2019,December,4 Western, Buloke,300,4865.390853065
2019,December,4 Western, Campaspe,3962,10391.313470415
2019,December,4 Western, Central Goldfields,1411,10570.080155817
2019,December,4 Western, Colac-Otway,1649,7482.869719109
2019,December,4 Western, Corangamite,646,3994.805516047
2019,December,4 Western, Gannawarra,829,7848.892255255
2019,December,4 Western, Glenelg,1674,8373.349339736
2019,December,4 Western, Golden Plains,650,2729.945401092
2019,December,4 Western, Greater Bendigo,11453,9688.36178456
2019,December,4 Western, Greater Geelong,21705,8343.776668948
2019,December,4 Western, Hepburn,870,5402.049053089
2019,December,4 Western, Hindmarsh,330,5822.159491884
2019,December,4 Western, Horsham,1951,9658.415841584
2019,December,4 Western, Loddon,476,6239.349849259
2019,December,4 Western, Macedon Ranges,2444,4872.214026554
2019,December,4 Western, Mildura,7425,13080.473539567
2019,December,4 Western, Moorabool,2127,5942.502723996
2019,December,4 Western, Mount Alexander,1224,6214.45978879
2019,December,4 Western, Moyne,683,4018.356180502
2019,December,4 Western, Northern Grampians,1104,9430.25540275
2019,December,4 Western, Pyrenees,654,8779.701973419
2019,December,4 Western, Queenscliffe,116,3901.782711066
2019,December,4 Western, Southern Grampians,1215,7418.488215899
2019,December,4 Western, Surf Coast,1245,3638.967643878
2019,December,4 Western, Swan Hill,2625,12262.344093054
2019,December,4 Western, Warrnambool,3452,9833.637192343
2019,December,4 Western, West Wimmera,168,4222.166373461
2019,December,4 Western, Yarriambiack,477,7146.06741573
2019,December,4 Western,Total,85869,8426.187329073
2019,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,2760,
2019,December,Justice Institutions and Immigration Facilities,Total,2760,
2019,December,Unincorporated Vic, Unincorporated Vic,156,
2019,December,Unincorporated Vic,Total,156,
2018,December,1 North West Metro, Banyule,9403,7252.882872459
2018,December,1 North West Metro, Brimbank,19051,9204.404354107
2018,December,1 North West Metro, Darebin,15236,9698.096153479
2018,December,1 North West Metro, Hobsons Bay,6236,6553.862322648
2018,December,1 North West Metro, Hume,20702,9179.429422772
2018,December,1 North West Metro, Maribyrnong,8434,9490.159894679
2018,December,1 North West Metro, Melbourne,36171,22141.488586767
2018,December,1 North West Metro, Melton,10680,6801.724632051
2018,December,1 North West Metro, Merri-bek,14556,8192.301847714
2018,December,1 North West Metro, Moonee Valley,8613,6863.65918382
2018,December,1 North West Metro, Nillumbik,2107,3264.540919091
2018,December,1 North West Metro, Whittlesea,15615,7078.390397142
2018,December,1 North West Metro, Wyndham,14462,5627.018403953
2018,December,1 North West Metro, Yarra,13683,14327.148601106
2018,December,1 North West Metro,Total,194949,9006.748512458
2018,December,2 Eastern, Alpine,579,4515.676181563
2018,December,2 Eastern, Bass Coast,2211,6127.539284428
2018,December,2 Eastern, Baw Baw,4491,8562.930196198
2018,December,2 Eastern, Benalla,1191,8412.205113717
2018,December,2 Eastern, Boroondara,6942,3869.867213718
2018,December,2 Eastern, East Gippsland,4507,9613.702779378
2018,December,2 Eastern, Greater Shepparton,8744,13084.727501272
2018,December,2 Eastern, Indigo,451,2714.741467525
2018,December,2 Eastern, Knox,10806,6651.524384614
2018,December,2 Eastern, Latrobe,14603,19319.715291191
2018,December,2 Eastern, Manningham,4362,3487.061419287
2018,December,2 Eastern, Mansfield,480,5244.182235333
2018,December,2 Eastern, Maroondah,8103,6918.249733191
2018,December,2 Eastern, Mitchell,4314,9682.197683814
2018,December,2 Eastern, Moira,2115,7071.213640923
2018,December,2 Eastern, Monash,10332,5217.918286955
2018,December,2 Eastern, Murrindindi,715,4910.377034544
2018,December,2 Eastern, South Gippsland,1445,4881.097149034
2018,December,2 Eastern, Strathbogie,604,5626.979690702
2018,December,2 Eastern, Towong,212,3475.409836066
2018,December,2 Eastern, Wangaratta,2388,8158.802828932
2018,December,2 Eastern, Wellington,4004,9052.06520019
2018,December,2 Eastern, Whitehorse,8193,4696.986200847
2018,December,2 Eastern, Wodonga,3207,7720.083772658
2018,December,2 Eastern, Yarra Ranges,7658,4852.394198417
2018,December,2 Eastern,Total,112657,6644.87040801
2018,December,3 Southern Metro, Bayside,4686,4478.938665494
2018,December,3 Southern Metro, Cardinia,6048,5655.243349385
2018,December,3 Southern Metro, Casey,21021,6217.630373247
2018,December,3 Southern Metro, Frankston,14871,10507.238696823
2018,December,3 Southern Metro, Glen Eira,6470,4245.713273268
2018,December,3 Southern Metro, Greater Dandenong,18291,11092.513417629
2018,December,3 Southern Metro, Kingston,11005,6806.44462999
2018,December,3 Southern Metro, Mornington Peninsula,10797,6482.193030907
2018,December,3 Southern Metro, Port Phillip,13097,11827.549149757
2018,December,3 Southern Metro, Stonnington,10782,9512.969825304
2018,December,3 Southern Metro,Total,117068,7500.551002312
2018,December,4 Western, Ararat,1349,11427.36128759
2018,December,4 Western, Ballarat,10865,10096.832949223
2018,December,4 Western, Buloke,236,3797.875764403
2018,December,4 Western, Campaspe,3807,10032.149256878
2018,December,4 Western, Central Goldfields,1294,9707.426856714
2018,December,4 Western, Colac-Otway,1596,7313.384960821
